O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,gf,020214
,S,Agüero,MCI,F,0.42,0.45,7.0,7.3,9.3,1601,11.9,29.3,27565,2,
x,H,Kane,TOT,F,0.35,0.37,6.5,6.8,6.3,2041,12.9,44.6,-40927,-2,
x,R,Firmino,LIV,F,0.36,0.42,5.3,5.9,6.0,1773,9.2,39.8,-13615,-1,
x,C,Wilson,BOU,F,0.46,0.63,4.7,5.7,8.7,1056,5.9,7.4,120469,28,
,W,Rooney,EVE,F,0.36,0.44,4.6,5.2,1.3,1537,7.3,12.1,-45080,-6,
,Á,Morata,CHE,F,0.27,0.29,4.8,5.0,0.8,1514,10.4,8.9,-30485,-6,
,O,Niasse,EVE,F,0.48,0.62,4.3,5.0,3.0,675,4.8,5.4,-2560,-1,
,J,Vardy,LEI,F,0.33,0.33,4.8,4.8,6.0,2078,8.6,17.4,21487,2,
,R,Lukaku,MUN,F,0.23,0.25,4.6,4.8,4.0,2083,11.3,21.0,-6784,-1,
~,~,~~~~~~~~,~~~~,~,~~~~,~~~~~,~~~,4.24,~~~~,~~~,~~~~~,~,~~~,~~,~~~~~~
,G,Murray,BHA,F,0.18,0.39,3.0,4.2,3.7,1331,5.7,2.1,2235,2,
,A,Lacazette,ARS,F,0.18,0.2,3.9,4.1,3.5,1783,10.3,8.2,-25053,-5,
,L,Depoitre,HUD,F,0.24,0.39,3.3,4.1,1.7,1411,5.4,5.5,-45382,-14,
,J,Chicharito,WHU,F,0.21,0.25,3.4,3.7,3.8,1156,6.7,6.9,275,0,
,D,Calvert-Lewin,EVE,F,0.17,0.31,2.9,3.6,0.7,1556,5.2,6.2,-61637,-17,
,M,Diouf,STK,F,0.19,0.26,3.0,3.4,3.0,1830,5.4,3.6,-12829,-6,
,J,Jordan Ayew,SWA,F,0.23,0.25,3.2,3.3,6.0,1940,5.3,11.2,93690,15,
,T,Abraham,SWA,F,0.22,0.24,3.2,3.3,0.0,1390,5.5,3.8,-9907,-5,
,C,Benteke,CRY,F,0.11,0.14,2.8,3.1,6.0,1568,7.6,2.4,6088,4,
,A,Pérez,NEW,F,0.08,0.21,2.4,3.1,2.7,1436,5.2,1.2,-4006,-6,
,J,Rodriguez,WBA,F,0.15,0.18,2.8,3.0,5.3,1853,5.5,2.1,13810,11,
,J,King,BOU,F,0.1,0.13,2.7,2.9,0.7,1489,7.0,1.0,77,0,
,J,Joselu,NEW,F,0.15,0.15,2.8,2.8,3.0,1549,5.5,0.7,-2914,-7,
,S,Rondón,WBA,F,0.03,0.07,2.2,2.4,1.7,1637,6.0,0.6,-754,-2,