team,20~23_avg,20,21~24_avg,21,22~25_avg,22,23,24,25
BUR,2.07,2,2.27,2,2.53,2,3,4,2
CHE,2.13,2,2.33,2,2.67,2,4,3,2
HUD,2.2,2,2.47,2,3.07,2,5,3,4
WAT,2.27,2,2.67,3,2.33,2,2,4,3
LEI,2.33,2,2.87,3,2.8,2,3,5,4
WHU,2.33,2,2.73,2,3.6,4,3,3,4
FUL,2.67,2,3.33,4,2.53,2,4,2,2
MCI,2.67,2,3.33,4,2.67,3,2,2,4
MUN,2.8,3,2.53,2,3.13,4,2,2,3
TOT,2.8,3,2.6,2,3.2,4,2,3,2
EVE,2.93,3,2.8,3,2.6,3,2,2,3
CAR,3.07,3,3.2,4,2.33,2,2,4,3
BHA,3.2,3,3.33,3,3.67,4,4,2,3
NEW,3.33,3,3.8,4,3.6,4,2,5,4
BOU,3.47,4,2.93,3,2.8,3,2,4,2
WOL,3.53,4,2.93,2,3.93,5,3,2,3
CRY,3.67,4,3.2,3,3.33,3,5,2,2
ARS,3.87,5,2.53,2,3.27,3,4,2,5
LIV,4.0,4,3.93,5,2.73,3,2,3,3
SOU,4.33,5,3.47,4,2.8,3,3,2,2